x0,x1,x2,x3,x4,x5,x6,x7,pv_kWp,battery_kWh,pcm_kg,compressor_kWh,feasible,failure_reason,unmet_kWh,rh_violation_hours,battery_soc_min,pcm_soc_min,pcm_candidate,pcm_transition_C,pcm_conductivity_W_mK,pcm_usable_enthalpy_J_kg,pcm_leakage_pct,pcm_cycle_retention_500,pcm_cost_INR_kg,pcm_data_status
9.54459689,26.13917569,974.95796836,8.33936239,9.67531229,16.12489398,10247.03496148,18.13640947,9.544596889809874,26.139175693920052,974.9579683647885,10000.0,False,ROOM_T_LIMIT,,0,0.2588359793974067,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
17.16042123,28.88946272,921.76074891,9.34083907,11.23117115,7.36687319,6387.6547864,23.6917625,17.16042122874692,28.88946271535058,921.7607489077827,6496.705105697478,False,POST_SIM_CONSTRAINT,50.42128815312334,0,0.5727358972476804,0.36776246530281087,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
22.72539348,16.9968622,485.43847235,3.13901141,6.31003422,16.93013859,3181.53844254,14.94981784,22.725393483305243,16.996862200775766,485.4384723513914,6145.376894174392,False,POST_SIM_CONSTRAINT,4131.828596820927,16.0,0.2,0.08958675312645725,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
19.05744871,13.92378883,785.53095436,6.77016117,11.10186263,16.26711242,6671.26868283,24.54728555,19.057448713707345,13.923788826159328,785.530954364428,7011.030057504026,False,POST_SIM_CONSTRAINT,68.8292213217741,36.0,0.2,0.11930100369347485,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
13.89910096,31.02277432,396.6253202,5.96961009,8.27929646,12.10711965,8382.25621199,24.96529286,13.89910095717207,31.022774323074273,396.6253201987821,7337.818529794751,False,POST_SIM_CONSTRAINT,146.57092877461073,16.0,0.2,0.06248263277578392,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
12.6876106,25.29120215,530.525726,7.2483071,9.82846678,7.8290529,5938.06891354,38.34113667,12.687610595901315,25.29120215109587,530.5257259959269,6788.870347222504,False,POST_SIM_CONSTRAINT,411.9475982317395,40.0,0.2,0.06659141437599359,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
24.28644704,34.76405166,329.76808372,8.78556138,11.48220646,18.62722216,9434.47173133,30.26858029,24.286447038815115,34.76405165720547,329.76808372178965,6968.070575593646,False,POST_SIM_CONSTRAINT,4.69299266114831e-13,0,0.5721657131768073,0.0666087890867546,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
17.26824696,34.41162733,812.43897734,8.81296752,11.1577652,9.80668066,11880.10137285,21.7124207,17.26824696093593,34.41162733034744,812.438977335494,6439.212776111063,False,POST_SIM_CONSTRAINT,23.056826810252183,0,0.4576651954960072,0.351079133314836,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
14.44146342,9.59003568,875.0351495,5.35828339,9.51475556,9.05697833,6162.267545,21.52733459,14.441463420132886,9.590035681552903,875.035149502315,10000.0,False,ROOM_T_LIMIT,,0,0.2040061551007604,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
17.64439039,15.4251281,693.73498799,9.3409499,10.89263463,18.90347603,11415.51945094,27.6945808,17.644390391028033,15.425128095187908,693.7349879867695,6420.019697415271,False,POST_SIM_CONSTRAINT,48.03761284505429,38.0,0.2,0.17047408388104446,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
